[2026-05-09 18:29:48] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:48] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:48] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:48] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:48] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:29:48] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:48] MSG:MsgInternetStatus {"connected":true}
[2026-05-09 18:29:48] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:48] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:48] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:48] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:48] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:48] MSG:MsgWifiEvent {"event":"STA_GOT_IP","rssi":-55,"ip":"192.168.1.23","ssid":"TestSSID_API","mac":"72:B1:94:DB:A6:77"}
[2026-05-09 18:29:53] MSG:MsgTimeStatus {"epoch":1778351393,"source":3,"valid":true}
[2026-05-09 18:30:11] MSG:MsgWifiEvent {"event":"STA_DISCONNECTED","rssi":-100,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:30:11] MSG:MsgInternetStatus {"connected":false}
[2026-05-09 18:30:11] MSG:MsgWifiEvent {"event":"STA_DISCONNECTED","rssi":-100,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:30:11] MSG:MsgWifiEvent {"event":"STA_DISCONNECTED","rssi":-100,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:30:11] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:30:11] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:30:11] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
[2026-05-09 18:30:11] MSG:MsgWifiEvent {"event":"STA_CONNECTED","rssi":-55,"ip":"","ssid":"TestSSID_API","mac":""}
